1:35	たべっちかにっち	
1:35	SANA	マスター行けなくて心おれました
1:35	しゃけねこ	草
1:36	taketo RONA	英語うまいですね
1:38	ぎるばーとぐれいぷ	ぷらちぃな
1:38	ゴリキッズ	
1:39	フツレ	草
1:39	あいる	おはぺっくす
1:40	ケンフー	またキャラ変わってて草
1:40	よういち	ゴールドは漁夫が来なくてめちゃ楽しい
1:40	うにあ	それはありそうｗ
1:43	かわ3	1
1:45	けーいち	人狼面白かった！！
1:45	ぐだのすけ	昨日楽しかった～
1:46	エーピー	椎名さん強かったね
1:48	星野空	ね、たのしかったね
1:50	ちなまる	人狼おもしろいなやっぱ
1:50	ふぉるす	椎名人狼おもしろかったー！
1:50	ソーセン	草
1:50	うどんこねっと	宇宙人狼もしてほしい！
1:51	ひめかわ	人狼上手だった
1:51	アジの骨	人狼すごい楽しかった
1:51	黎明卿新しきボンドルド	しぃしぃ上手くなったね
1:52	ユキダルマ	人狼めちゃうまくてびっくりした
1:52	川原太一	昨日のやつめっちゃ面白かったわ
1:52	おはデラ	椎名さんうまいよね
1:53	うにあ	椎名さんつよかったね！
1:53	りょうちゃん	いいね
1:54	カービィ	椎名さん上手かった
1:55	ケンフー	リアルに持ち出すなよ
1:55	みんとくん	歪んでんじゃん
1:55	ひみこくん	シスコさん呼べば？
1:55	ねこわん	草
1:56	Yuuki	人狼めっちゃ面白かった
1:56	かそく	昨日めっちゃ楽しかった
1:56	けんばく	椎名さん強かったな
1:56	archer	人狼面白かった
1:57	よういち	かしこい言われてたな！
1:57	dekarucha	草
1:57	空亡	雪山組ひさびさで助かった
1:57	ぷりっつPretz	面白かった
1:57	John Smith	人狼面白かったからまた見たい
1:57	クリ	しぃしぃ、普通の人狼はうまいんだね
1:57	ヘィヴンダックス	てか割とずっと人狼系のゲームやってるしな
1:57	高撫ばたこ	しぃしぃ頑張ってたわ
1:58	月_	人狼もっとやってほしい！
1:58	こまち	面白かった〜
1:58	ぴーわいおー	人狼面白かった～
1:58	ふくざわゆきち	なんか人狼上手くなってない？
1:59	no body	草
2:00	おさかな.	そういう系のゲーム上手い
2:00	ラザフォードアーネスト	ピグ人狼いこうぜ
2:01	suke tome	またピグ人狼で小学生とバトろうぜ
2:02	WRyou_Italy	そんなハマり方ある？
2:02	せきかわ	しぃしぃうまかったよな
2:02	ou k	もっとやってもろて
2:03	ハイロウ	人狼おもろかったわ～
2:04	はいどれ	しぃしぃ相変わらず人狼上手いっすね
2:05	こねこ倫理観	草
2:05	しゃけねこ	草
2:06	のりおくん	椎名さん人殺し上手くなってるね、さすが暗殺一家
2:09	スクきの	おはしいなー
2:10	豚男	among usでも人狼でも人狼側になるとテンションMAXになるの草
2:10	青いザリガニ	草
2:10	流れ星のガンマン・キリボシ	こんばんはー！めっちゃ人狼最高でした
2:12	ガリレオ	笹木は不憫
2:12	薄荷	2戦とも上手かった
2:14	あるは/ Alfa uhi	人狼めちゃつよだった！
2:14	かぐかぐぐ	おもしろかった
2:15	エルミス	おはしいなー！
2:16	あいる	バグ枠？
2:16	REO	面白かったわ
2:18	とおのマン	
2:18	ゴッツ	しぃしぃうまかった
2:18	もんぬサマー	喧嘩凸のおかげでしょ！
2:18	うにあ	便乗するから吊られたんかね
2:20	かむかむ	仮指定とか言ってればうまく見えるよ
2:21	アッシュ	人狼上手いよね
2:22	kou	人狼上手いよね
2:27	iroha ao	笹木人狼下手すぎて草
2:27	川原太一	笹木はあんま関係なく吊られた気がするけどね
2:28	がる	
2:30	Cymbals21	椎名さんめっちゃ頑張ってたね
2:31	ふくざわゆきち	草
2:31	みやぴ	おはしいな〜
2:32	けんばく	そうなんか
2:32	kou	草
2:33	ぐるぐる	しぃしぃ！
2:34	川咲	楽しかった
2:34	うにあ	それはそれですごいよ
2:38	H1t0r1 Dr4k0 Drako	YOU ARE THE TRAITOR!
2:39	ぐだのすけ	ほうほう
2:39	うにあ	へーそうなんだ
2:40	ぷにゃぽよ	おもしろかった～
2:41	ケンフー	急にグウェル
2:41	givun01	適当に集めたら委員長来るのもすごいな
2:41	ターニングポイント	
2:43	たみふる	なるほど
2:44	ちなまる	そうだったんだ
2:44	taketo RONA	適当に集めたらすごいメンツって
2:45	ぎるばーとぐれいぷ	昨日のメンツ濃かったなぁ
2:46	流れ星のガンマン・キリボシ	またやってほしいです
2:47	LEON	笹木本当草
2:47	もんぬサマー	「両手に花ってレベルじゃねーぞこれ！」の次回も楽しみ
2:47	おさかな.	人狼配信すると猫耳ファンアート描いてくれる人増えるから好き
2:47	かぐかぐぐ	しぃしぃうまいって思った
2:47	しゃけねこ	笹
2:48	うにあ	笹木は不憫枠だったな
2:48	ふくざわゆきち	グウェル司会の安定感やばいよな
2:51	エーピー	笹木よわよわ
2:51	リョコウバト	しぃしぃの人集め凄いわ
2:52	wa	あのメンツでAmong usも見たい
2:52	うにあ	へらへらしてるからよｗ
2:52	ASAKA	コンテンツとして重ねていってほしい
2:53	カービィ	笹木の理解ずっと追いついて無くて草だった
2:54	テルユウ	笹木死ぬほど弱かったな
2:55	ふぉるす	笹木はホンマｗ
2:55	ぐだのすけ	笹木笑った
2:56	かわ3	完全乗っかってた
2:57	けーいち	またやってほしいなあ
3:01	WRyou_Italy	笹木ほんとアホで面白かった
3:02	玉露	人狼系のゲーム漁るか
3:04	archer	笹木すぐのっかかるからな
3:04	ながねぎ	笹木だから…
3:04	プリッツトッポ	草
3:05	ガリレオ	笹木ついていけてないの笑った
3:05	桃花	笹木のあのムーブはねぇw
3:05	ジーク	笹木は流されやすいのでね
3:06	有村霧香	笹木は釣られてもしょうがないムーブ
3:06	Ketaけた	
3:09	シャムねこ	
3:10	のりおくん	笹木：もしかして：アホ
3:10	かわ3	半さしじゃない？
3:10	うにあ	便乗もしたのもいけんかったなｗ
3:11	けんばく	なにが？
3:11	iroha ao	ラグ？
