1:02	zale	いわないでっ！（半ギレ）
1:03	ぐだのすけ	草
1:03	ミストリエカミン	おはようなのか
1:03	ヘィヴンダックス	
1:04	_ chami	
1:05	るたろー	おはしぃ〜
1:06	黎明卿新しきボンドルド	カッスカスで草
1:06	Metallic	
1:06	あらいひと	
1:06	松井、	草
1:07	イノウエシンイチ	プラチナになってる
1:07	Nori Nori	
1:07	イマガセ	
1:07	めんとす	言わないでぇ！
1:08	Rei_ S2	おはしいな〜
1:08	ケンフー	みんな間違えてんな
1:08	たすく	
1:09	もこもこありえす	言わないでえええええええええ
1:11	うどんこねっと	言わなきゃばれへんのよ！
1:12	佐藤太郎	
1:12	sho ma	おはしぃな〜！
1:12	Ketaけた	また遅延モード忘れたな！！
1:12	エーピー	OP
1:13	めぐし	
1:15	ほくりん	
1:15	ワタル	いわないで（怒）
1:17	うりす	
1:17	うりょ	おはれじかぶっ
1:17	中空chukuu	
1:18	とおのマン	三下なんて言わないで！
1:18	カービィ	草
1:19	ぽりめらーぜ!	いわないで！！！
1:19	KeyKey	プラチナなっとる
1:19	もか	
1:19	AyaSE	プラチナになってるｗ
1:20	アキパン	三下なんて言わないでぇ！
1:20	こしあん	言わないで選手権
1:21	yuyu sasa	リーダー！？
1:21	たべっちかにっち	草
1:24	牛タン将軍	プラチナやんけ
1:24	青いザリガニ	草
1:24	猫の足	おはしぃな～
1:24	ふぉるす	草
1:25	かずき	草
1:25	ととろろろ	草
1:25	Ketaけた	
1:25	みなと	草
1:26	はんぺん	プラチナやんw
1:27	エーピー	草
1:27	黎明卿新しきボンドルド	言わないで選手権面白そう
1:27	ダックスフント	
1:27	うりょ	草
1:28	オレオ	新人かな？
1:28	もんぬサマー	かぶ！
1:28	ふくざわゆきち	なんだかんだあと500ちょいくらいなんか
1:29	うにあ	そうなのｗ
1:29	カービィ	プラチナだ！
1:30	kbf kbf	いえーい
1:31	しゃけねこ	草
1:33	accelアクセル	草
1:33	?!	プラチナ
1:33	かずき	
1:34	透	
1:34	yuyu sasa	いえーい
1:34	湯気	おはしぃな〜
1:34	鼻セレブ	プラチナやんけぇ！
1:35	ネリー・モノ	
1:35	松井、	プラチナや
1:35	てぃれもん	いえーい
1:35	桃purée	プラチナで草
1:36	NoName	プラチナ上がってて草
1:36	かわ3	こんれーなー
1:36	ゴルネム	プラチナ行ってて草
1:36	ターニングポイント	草
1:37	ジーク	プラチナで盛ってる
1:37	ろろ	いえーい！
1:37	イープカ	はじまってんねぇ
1:38	ちゅう	にーじさんじ レジスタン！！
1:38	きょうからいちにちめ	おはしいな〜
1:38	中空chukuu	プラチナじゃん
1:38	クレシアン	
1:38	みなと	いえーい
1:39	黎明卿新しきボンドルド	いえーい
1:39	栄養不足	デブっていわないでぇー
1:39	archer	プラチナ言ってて草
1:39	かわ3	終わらせちゃうか
1:39	めんとす	48
1:43	しよしよ	プラチナランクに突っ込むのか…
1:43	akira	
1:43	zale	こんれーなー！ってなんだ・・・？
1:44	うにあ	いええええい！！
1:44	とおのマン	！？
1:45	かおう_____ta	500キルならよゆーだな！
1:45	めたる王	プラチナだと？
1:45	うりょ	こんれーなー
1:46	babu	いえーい
1:47	ふぉるす	
1:47	ろろ	草
1:48	こしあん	いけるな！
1:48	もこもこありえす	いええええええええ
1:48	ざんまいTF	やっちゃえにじレジ(株)
1:50	プリッツトッポ	草
1:51	reno	プラチナ盛れてるやないか…
1:51	Gリスナー	おはしぃな～
1:51	長岡	
1:51	ぐだのすけ	プラチナ行っとるw
1:52	オクラトラ	こんれーなーってなんだ…？
1:52	ちなまる	いえーい
1:52	atsuyoshi	プラチナ帯だから地獄だぞｗ
1:52	ふくざわゆきち	草
1:53	taketo RONA	おはプラチナ
1:53	かそく	マルス理論かな
1:54	ネムイ	こんれーなー
1:54	青いザリガニ	オーバーキルだ
1:55	カリオロス亜種	もう思考停止気味で草
1:56	しゃけねこ	草
1:56	うにあ	いけえええ！！！
1:56	うりす	いえええい
1:57	テルユウ	1時間125キルくらいか
1:57	ぎるがめっしゅ	いぇーい
